member_type,sigma,tau,sigma_vm,Sy,Su,label
column,2045595077.1502647,163754035.94856378,2065164732.5406582,1142518398.1369658,1676629458.8790908,Buckling Risk
shaft,58666720.10602681,455573890.59367394,791255011.6239197,532931133.0842205,750740207.6845373,Fracture Risk
shaft,12565826.5451651,28576853.49216867,51066717.765113845,204656823.8163464,303723942.7332228,Safe
shaft,224599539.8413176,269450703.1841347,517934356.4933742,588114953.1217752,717790771.9895787,Yield Risk
beam,142433787.78347838,75895043.30019471,193823519.4576867,332761813.89205277,409259752.70962477,Safe
beam,511192732.7889854,150404227.41107374,573744111.0160844,599137357.5203316,743219377.7281625,Yield Risk
beam,573217650.382992,134558771.7863838,618786444.5061628,455374695.30586165,585724065.4366966,Fracture Risk
shaft,169368168.60617614,250683507.0711449,466060338.0351909,1194464056.1658678,1812701881.2098832,Safe
shaft,73551999.64715973,199068849.86786813,352555127.05851156,591895144.6621675,890600561.0930744,Safe
beam,317556034.37356234,63571946.11595253,336104168.32579124,1051115120.0593033,1297529024.613173,Safe
column,981719544.7997957,156035320.27111435,1018240800.6744995,1239845459.8772304,1496304160.7208576,Buckling Risk
beam,1967802326.9011817,165258014.08810103,1988511159.490621,1274024481.0564265,1990477983.17837,Fracture Risk
shaft,381393903.7040036,473564654.3287645,904572692.0878971,1323662486.5344834,2053567729.43766,Fatigue Risk
column,104721739.04151888,22210842.28581175,111564363.36490066,1114921507.5341282,1592710450.3739574,Safe
beam,617982628.0119652,153791930.76332965,672947548.051342,1085732516.6063194,1511436140.4654107,Fatigue Risk
column,297733766.7816955,63987076.33037377,317692356.9964255,386973585.3125527,574723217.1082937,Buckling Risk
beam,399680282.16289705,65217246.66221406,415336244.18826395,559144178.6372491,726472555.1827518,Fatigue Risk
column,493107598.794706,57187750.9657519,502957672.742591,365989725.9289427,483039494.3793919,Fracture Risk
beam,1209318056.7611942,340224024.42246217,1345253627.6819026,884142700.9944719,1159552874.3767774,Fracture Risk
beam,209484082.2027683,140877407.78872326,321594329.5086946,570356393.7194076,789743835.9643942,Safe
shaft,159416298.2337571,384934461.39687383,685519638.5627899,597617026.3537233,816798057.6864972,Fracture Risk
shaft,394491165.6265843,484827277.64259154,927790788.484344,1212629490.543538,1728673762.6762602,Fatigue Risk
column,25836435.267187092,46701239.64881895,84914891.16477042,242342351.27748886,313608825.7474435,Safe
beam,57617350.613712594,411661072.7206362,715342068.8539562,1099072090.3786707,1403412239.7189057,Fatigue Risk
column,919893771.928893,151852943.00785205,956756238.8267996,1159383555.1621633,1773983161.481541,Yield Risk
shaft,425183088.0021906,4158284.2928977567,425244085.56482035,1343962343.10364,1966927056.1246762,Safe
column,1018559119.118937,92825464.44229788,1031170393.1393346,645614384.3157201,857183440.7779081,Buckling Risk
shaft,152415835.79115403,321319876.2319085,577035506.3468652,418115867.3942801,589999039.6110775,Fracture Risk
column,247842048.92996454,18644367.326527834,249937029.10297713,220840939.35468474,348049012.1210908,Buckling Risk
shaft,260233890.03351972,271126275.6742235,536889234.0184362,682043518.0724356,968096386.0461148,Fatigue Risk
column,2020822646.9279146,79989927.78119645,2025566423.49148,1391463921.7452948,2011214284.948508,Buckling Risk
column,685039644.3760874,9611255.949426647,685241886.5551729,832715327.260307,1147882702.0160663,Buckling Risk
column,365849172.80998904,27321991.571552392,368897127.8230032,318109628.1436981,471301547.2775185,Buckling Risk
column,827280038.780174,19866107.618543144,827995319.5881368,532340028.5205454,684595260.6480798,Fracture Risk
column,137624723.0837359,134908655.3089161,271185545.771995,736597738.3368638,1156349205.772821,Safe
